Date;RPM;Temperatura;Potencia
2024-10-16T19:48:56.378Z;0;20.6;0
2024-10-16T19:48:57.373Z;0;20.7;0
2024-10-16T19:48:58.374Z;0;20.6;0
2024-10-16T19:48:59.377Z;0;20.7;0
2024-10-16T19:49:00.377Z;0;20.7;0
2024-10-16T19:49:01.375Z;0;20.7;0
2024-10-16T19:49:02.374Z;0;20.7;0
2024-10-16T19:49:03.371Z;0;20.8;0
2024-10-16T19:49:04.374Z;0;20.8;0
2024-10-16T19:49:05.373Z;0;20.8;0
2024-10-16T19:49:06.380Z;0;20.8;0
2024-10-16T19:49:07.372Z;0;20.8;0
2024-10-16T19:49:08.375Z;0;20.8;0
2024-10-16T19:49:09.375Z;0;20.7;0
2024-10-16T19:49:10.375Z;0;20.8;0
2024-10-16T19:49:11.373Z;0;20.7;0
2024-10-16T19:49:12.376Z;0;20.8;0
2024-10-16T19:49:13.376Z;0;20.7;0
2024-10-16T19:49:14.373Z;0;20.7;0
2024-10-16T19:49:15.374Z;0;20.7;0
2024-10-16T19:49:16.374Z;0;20.7;0
2024-10-16T19:49:17.373Z;0;20.8;0
2024-10-16T19:49:18.374Z;0;20.8;0
2024-10-16T19:49:19.372Z;0;20.8;0
2024-10-16T19:49:20.373Z;0;20.8;0
2024-10-16T19:49:21.369Z;0;20.8;0
2024-10-16T19:49:22.374Z;0;20.7;0
2024-10-16T19:49:23.370Z;0;20.7;0
2024-10-16T19:49:24.374Z;0;20.7;0
2024-10-16T19:49:25.373Z;0;20.7;0
2024-10-16T19:49:26.374Z;0;20.8;0
2024-10-16T19:49:27.373Z;0;20.8;0
2024-10-16T19:49:28.373Z;0;20.8;0
2024-10-16T19:49:29.376Z;0;20.8;0
2024-10-16T19:49:30.373Z;0;20.8;0
2024-10-16T19:49:31.372Z;0;20.8;0
2024-10-16T19:49:32.372Z;0;20.9;0
2024-10-16T19:49:33.372Z;0;20.9;0
2024-10-16T19:49:34.372Z;0;20.9;0
2024-10-16T19:49:35.371Z;0;20.9;0
2024-10-16T19:49:36.372Z;0;20.9;0
2024-10-16T19:49:37.373Z;0;20.9;0
2024-10-16T19:49:38.374Z;0;20.9;0
2024-10-16T19:49:39.371Z;0;20.9;0
2024-10-16T19:49:40.372Z;0;21;0
2024-10-16T19:49:41.373Z;0;21;0
2024-10-16T19:49:42.373Z;0;21;0
2024-10-16T19:49:43.368Z;0;21;0
2024-10-16T19:49:44.372Z;0;21;0
2024-10-16T19:49:45.373Z;0;21;0
2024-10-16T19:49:46.372Z;0;20.9;0
2024-10-16T19:49:47.369Z;0;20.9;0
2024-10-16T19:49:48.371Z;0;20.9;0
2024-10-16T19:49:49.371Z;0;20.9;0
2024-10-16T19:49:50.371Z;0;20.9;0
2024-10-16T19:49:51.371Z;0;20.9;0
2024-10-16T19:49:52.372Z;0;20.9;0
2024-10-16T19:49:53.366Z;0;20.9;0
2024-10-16T19:49:54.366Z;0;21;0
2024-10-16T19:49:55.364Z;0;20.9;0
2024-10-16T19:49:56.364Z;0;21;0
2024-10-16T19:49:57.365Z;0;21;0
2024-10-16T19:49:58.365Z;0;21;0
2024-10-16T19:49:59.364Z;0;21;0
2024-10-16T19:50:00.364Z;0;21;0
2024-10-16T19:50:01.364Z;0;21;0
2024-10-16T19:50:02.363Z;0;21;0
2024-10-16T19:50:03.372Z;0;21;0
2024-10-16T19:50:04.364Z;0;21;0
2024-10-16T19:50:05.365Z;0;21;0
2024-10-16T19:50:06.365Z;0;21;0
2024-10-16T19:50:07.365Z;0;21;0
2024-10-16T19:50:08.365Z;0;21;0
2024-10-16T19:50:09.365Z;0;21;0
2024-10-16T19:50:10.364Z;0;21;0
2024-10-16T19:50:11.364Z;0;21;0
2024-10-16T19:50:12.363Z;0;21;0
2024-10-16T19:50:13.364Z;0;21;0
2024-10-16T19:50:14.363Z;0;21.1;0
2024-10-16T19:50:15.364Z;0;21;0
2024-10-16T19:50:16.364Z;0;21.1;0
2024-10-16T19:50:17.366Z;0;21;0
2024-10-16T19:50:18.364Z;0;21;0
2024-10-16T19:50:19.363Z;0;21;0
2024-10-16T19:50:20.365Z;0;21.1;0
2024-10-16T19:50:21.365Z;0;21.1;0
2024-10-16T19:50:22.364Z;0;21;0
2024-10-16T19:50:23.363Z;0;21;0
2024-10-16T19:50:24.363Z;0;21;0
2024-10-16T19:50:25.364Z;0;21.1;0
2024-10-16T19:50:26.364Z;0;21.1;0
2024-10-16T19:50:27.362Z;0;21.2;0
2024-10-16T19:50:28.363Z;0;21.2;0
2024-10-16T19:50:29.362Z;0;21.2;0
2024-10-16T19:50:30.364Z;0;21.1;0
2024-10-16T19:50:31.363Z;0;21.1;0
2024-10-16T19:50:32.364Z;0;21.2;0
2024-10-16T19:50:33.362Z;0;21.2;0
2024-10-16T19:50:34.363Z;0;21.2;0
2024-10-16T19:50:35.364Z;0;21.1;0
2024-10-16T19:50:36.363Z;0;21.1;0
2024-10-16T19:50:37.362Z;0;21;0
2024-10-16T19:50:38.364Z;0;21;0
2024-10-16T19:50:39.362Z;0;21;0
2024-10-16T19:50:40.361Z;0;21;0
2024-10-16T19:50:41.362Z;0;21;0
2024-10-16T19:50:42.367Z;0;20.9;0
2024-10-16T19:50:43.362Z;0;20.9;0
2024-10-16T19:50:44.363Z;0;20.8;0
2024-10-16T19:50:45.361Z;0;20.7;0
2024-10-16T19:50:46.363Z;0;20.9;0
2024-10-16T19:50:47.361Z;0;20.9;0
2024-10-16T19:50:48.363Z;0;20.9;0
2024-10-16T19:50:49.361Z;0;20.9;0
2024-10-16T19:50:50.359Z;0;20.9;0
2024-10-16T19:50:51.363Z;0;20.9;0
2024-10-16T19:50:52.360Z;0;20.9;0
2024-10-16T19:50:53.357Z;0;21;0
2024-10-16T19:50:54.369Z;0;21;0
2024-10-16T19:50:55.370Z;0;21;0
2024-10-16T19:50:56.369Z;0;21;0
2024-10-16T19:50:57.370Z;0;20.9;0
2024-10-16T19:50:58.369Z;0;20.9;0
2024-10-16T19:50:59.369Z;0;20.8;0
2024-10-16T19:51:00.369Z;0;20.9;0
2024-10-16T19:51:01.367Z;0;20.9;0
2024-10-16T19:51:02.368Z;0;20.9;0
2024-10-16T19:51:03.370Z;0;20.9;0
2024-10-16T19:51:04.368Z;0;20.8;0
2024-10-16T19:51:05.369Z;0;20.8;0
2024-10-16T19:51:06.370Z;0;20.8;0
2024-10-16T19:51:07.364Z;0;20.9;0
2024-10-16T19:51:08.363Z;0;20.8;0
2024-10-16T19:51:09.369Z;0;20.9;0
2024-10-16T19:51:10.368Z;0;20.9;0
2024-10-16T19:51:11.368Z;0;20.8;0
2024-10-16T19:51:12.369Z;0;20.9;0
2024-10-16T19:51:13.368Z;0;20.8;0
2024-10-16T19:51:14.369Z;0;20.9;0
2024-10-16T19:51:15.370Z;0;21;0
2024-10-16T19:51:16.367Z;0;21;0
2024-10-16T19:51:17.364Z;0;21;0
2024-10-16T19:51:18.369Z;0;21;0
2024-10-16T19:51:19.375Z;0;20.9;0
2024-10-16T19:51:20.369Z;0;21;0
2024-10-16T19:51:21.368Z;0;21;0
2024-10-16T19:51:22.368Z;0;21;0
2024-10-16T19:51:23.367Z;0;21;0
2024-10-16T19:51:24.367Z;0;21;0
2024-10-16T19:51:25.369Z;0;20.9;0
2024-10-16T19:51:26.367Z;0;20.9;0
2024-10-16T19:51:27.366Z;0;20.9;0
2024-10-16T19:51:28.370Z;0;20.9;0
2024-10-16T19:51:29.365Z;0;20.8;0
2024-10-16T19:51:30.371Z;0;20.8;0
2024-10-16T19:51:31.366Z;0;20.8;0
2024-10-16T19:51:32.368Z;0;20.7;0
2024-10-16T19:51:33.362Z;0;20.7;0
2024-10-16T19:51:34.371Z;0;20.7;0
2024-10-16T19:51:35.367Z;0;20.6;0
2024-10-16T19:51:36.366Z;0;20.6;0
2024-10-16T19:51:37.367Z;0;20.6;0
2024-10-16T19:51:38.368Z;0;20.5;0
2024-10-16T19:51:39.366Z;0;20.5;0
2024-10-16T19:51:40.368Z;0;20.5;0
2024-10-16T19:51:41.367Z;0;20.5;0
2024-10-16T19:51:42.366Z;0;20.6;0
2024-10-16T19:51:43.368Z;0;20.6;0
2024-10-16T19:51:44.367Z;0;20.7;0
2024-10-16T19:51:45.368Z;0;20.7;0
2024-10-16T19:51:46.368Z;0;20.6;0
2024-10-16T19:51:47.365Z;0;20.7;0
2024-10-16T19:51:48.366Z;0;20.7;0
2024-10-16T19:51:49.367Z;0;20.7;0
2024-10-16T19:51:50.367Z;0;20.6;0
2024-10-16T19:51:51.366Z;0;20.6;0
2024-10-16T19:51:52.368Z;0;20.5;0
2024-10-16T19:51:53.367Z;0;20.5;0
2024-10-16T19:51:54.363Z;0;20.5;0
2024-10-16T19:51:55.361Z;0;20.6;0
2024-10-16T19:51:56.358Z;0;20.6;0
2024-10-16T19:51:57.358Z;0;20.6;0
2024-10-16T19:51:58.357Z;0;20.6;0
2024-10-16T19:51:59.363Z;0;20.6;0
2024-10-16T19:52:00.364Z;0;20.6;0
2024-10-16T19:52:01.360Z;0;20.6;0
2024-10-16T19:52:02.366Z;0;20.6;0
2024-10-16T19:52:03.365Z;0;20.6;0
2024-10-16T19:52:04.362Z;0;20.6;0
2024-10-16T19:52:05.365Z;0;20.5;0
2024-10-16T19:52:06.364Z;0;20.5;0
2024-10-16T19:52:07.361Z;0;20.5;0
2024-10-16T19:52:08.362Z;0;20.5;0
2024-10-16T19:52:09.370Z;0;20.4;0
2024-10-16T19:52:10.362Z;0;20.5;0
2024-10-16T19:52:11.362Z;0;20.4;0
2024-10-16T19:52:12.363Z;0;20.5;0
2024-10-16T19:52:13.363Z;0;20.5;0
2024-10-16T19:52:14.367Z;0;20.6;0
2024-10-16T19:52:15.362Z;0;20.5;0
2024-10-16T19:52:16.363Z;0;20.5;0
2024-10-16T19:52:17.362Z;0;20.5;0
2024-10-16T19:52:18.399Z;0;20.5;0
2024-10-16T19:52:19.363Z;0;20.5;0
2024-10-16T19:52:20.363Z;0;20.5;0
2024-10-16T19:52:21.361Z;0;20.5;0
2024-10-16T19:52:22.364Z;0;20.4;0
2024-10-16T19:52:23.363Z;0;20.4;0
2024-10-16T19:52:24.366Z;0;20.4;0
2024-10-16T19:52:25.362Z;0;20.4;0
2024-10-16T19:52:26.364Z;0;20.4;0
2024-10-16T19:52:27.364Z;0;20.4;0
2024-10-16T19:52:28.361Z;0;20.4;0
2024-10-16T19:52:29.362Z;0;20.3;0
2024-10-16T19:52:30.366Z;0;20.4;0
2024-10-16T19:52:31.366Z;0;20.4;0
2024-10-16T19:52:32.362Z;0;20.4;0
2024-10-16T19:52:33.369Z;0;20.4;0
2024-10-16T19:52:34.370Z;0;20.3;0
2024-10-16T19:52:35.362Z;0;20.4;0
2024-10-16T19:52:36.361Z;0;20.4;0
2024-10-16T19:52:37.361Z;0;20.4;0
2024-10-16T19:52:38.356Z;0;20.4;0
2024-10-16T19:52:39.362Z;0;20.4;0
2024-10-16T19:52:40.361Z;0;20.4;0
2024-10-16T19:52:41.362Z;0;20.3;0
2024-10-16T19:52:42.363Z;0;20.3;0
2024-10-16T19:52:43.360Z;0;20.3;0
2024-10-16T19:52:44.362Z;0;20.3;0
2024-10-16T19:52:45.362Z;0;20.3;0
2024-10-16T19:52:46.361Z;0;20.3;0
2024-10-16T19:52:47.360Z;0;20.3;0
2024-10-16T19:52:48.360Z;0;20.4;0
2024-10-16T19:52:49.361Z;0;20.3;0
2024-10-16T19:52:50.362Z;0;20.3;0
2024-10-16T19:52:51.359Z;0;20.3;0
2024-10-16T19:52:52.361Z;0;20.3;0
2024-10-16T19:52:53.363Z;0;20.2;0
2024-10-16T19:52:54.362Z;0;20.2;0
2024-10-16T19:52:55.360Z;0;20.2;0
2024-10-16T19:52:56.357Z;0;20.2;0
2024-10-16T19:52:57.361Z;0;20.2;0
2024-10-16T19:52:58.361Z;0;20.2;0
2024-10-16T19:52:59.362Z;0;20.2;0
2024-10-16T19:53:00.362Z;0;20.3;0
