Date;RPM;Temperatura;Potencia
2024-10-16T19:25:59.138Z;0;18.6;0
2024-10-16T19:26:00.134Z;0;18.5;0
2024-10-16T19:26:01.132Z;0;18.5;0
2024-10-16T19:26:02.133Z;0;18.6;0
2024-10-16T19:26:03.127Z;0;18.7;0
2024-10-16T19:26:04.133Z;0;18.6;0
2024-10-16T19:26:05.133Z;0;18.7;0
2024-10-16T19:26:06.132Z;0;18.7;0
2024-10-16T19:26:07.135Z;0;18.7;0
2024-10-16T19:26:08.132Z;0;18.7;0
2024-10-16T19:26:09.133Z;0;18.7;0
2024-10-16T19:26:10.132Z;0;18.8;0
2024-10-16T19:26:11.132Z;0;18.8;0
2024-10-16T19:26:12.133Z;0;18.8;0
2024-10-16T19:26:13.131Z;0;18.8;0
2024-10-16T19:26:14.130Z;0;18.8;0
2024-10-16T19:26:15.130Z;0;18.8;0
2024-10-16T19:26:16.132Z;0;18.8;0
2024-10-16T19:26:17.132Z;0;18.8;0
2024-10-16T19:26:18.133Z;0;18.8;0
2024-10-16T19:26:19.131Z;0;18.8;0
2024-10-16T19:26:20.132Z;0;18.7;0
2024-10-16T19:26:21.133Z;0;18.7;0
2024-10-16T19:26:22.131Z;0;18.7;0
2024-10-16T19:26:23.131Z;0;18.7;0
2024-10-16T19:26:24.131Z;0;18.6;0
2024-10-16T19:26:25.130Z;0;18.6;0
2024-10-16T19:26:26.132Z;0;18.6;0
2024-10-16T19:26:27.131Z;0;18.6;0
2024-10-16T19:26:28.132Z;0;18.6;0
2024-10-16T19:26:29.126Z;0;18.7;0
2024-10-16T19:26:30.130Z;0;18.8;0
2024-10-16T19:26:31.130Z;0;18.8;0
2024-10-16T19:26:32.132Z;0;18.8;0
2024-10-16T19:26:33.130Z;0;18.8;0
2024-10-16T19:26:34.126Z;0;18.8;0
2024-10-16T19:26:35.129Z;0;18.8;0
2024-10-16T19:26:36.131Z;0;18.8;0
2024-10-16T19:26:37.129Z;0;18.8;0
2024-10-16T19:26:38.130Z;0;18.8;0
2024-10-16T19:26:39.130Z;0;18.8;0
2024-10-16T19:26:40.131Z;0;18.7;0
2024-10-16T19:26:41.131Z;0;18.8;0
2024-10-16T19:26:42.129Z;0;18.8;0
2024-10-16T19:26:43.130Z;0;18.8;0
2024-10-16T19:26:44.130Z;0;18.9;0
2024-10-16T19:26:45.130Z;0;18.8;0
2024-10-16T19:26:46.128Z;0;18.8;0
2024-10-16T19:26:47.128Z;0;18.8;0
